order_id,date_key,customer_key,product_key,region_key,sales
CA-2015-135405,1,1,1,1,9.344
CA-2015-135405,1,1,2,1,31.2
CA-2015-130092,2,2,3,2,9.94
CA-2015-112326,3,3,4,3,11.784
CA-2015-112326,3,3,5,3,272.736
CA-2015-112326,3,3,6,3,3.54
CA-2015-162775,4,4,7,4,11.36
CA-2015-162775,4,4,8,4,50.94
CA-2015-162775,4,4,9,4,646.74
CA-2015-162775,4,4,10,4,5.64
CA-2015-162775,4,4,11,4,572.58
CA-2015-149020,5,5,12,5,2.89
CA-2015-149020,5,5,13,5,51.94
CA-2015-115791,6,6,14,6,127.104
CA-2015-115791,6,6,15,6,124.2
CA-2015-115791,6,6,16,6,18.588
CA-2015-115791,6,6,17,6,30.072
US-2015-147627,7,7,18,7,699.93
US-2015-147627,7,7,19,7,22.96
US-2015-147627,7,7,20,7,38.6
US-2015-147627,7,7,21,7,6.63
US-2015-147627,7,7,22,7,23.34
US-2015-147627,7,7,23,7,1067.94
CA-2015-141817,8,8,24,8,19.536
CA-2015-103366,9,9,25,9,149.95
US-2015-155502,10,10,26,10,62.82
US-2015-155502,10,10,27,10,489.92
US-2015-155502,10,10,28,10,19.44
US-2015-155502,10,10,29,10,16.68
US-2015-155502,10,10,30,10,155.35
US-2015-155502,10,10,31,10,12.42
US-2015-155502,10,10,32,10,187.98
CA-2015-109232,4,11,33,11,545.94
CA-2015-100328,11,12,34,12,3.928
CA-2015-115161,12,13,35,13,290.666
US-2015-117163,13,14,36,14,57.23
US-2015-117163,13,14,37,14,333.0
US-2015-117163,13,14,38,14,36.44
CA-2015-157147,4,15,39,15,1325.85
CA-2015-157147,4,15,40,15,333.999
CA-2015-157147,4,15,41,15,19.9
CA-2015-130813,14,16,42,16,19.44
CA-2015-123477,15,17,43,17,64.864
CA-2015-146591,16,18,44,18,32.34
CA-2015-146591,16,18,45,18,56.064
CA-2015-146591,16,18,653,18,56.064
CA-2015-146591,16,18,46,18,108.72
CA-2015-146591,16,18,47,18,181.47
CA-2015-148614,7,19,48,16,19.36
CA-2015-148614,7,19,20,16,19.3
